"VerbNo","Item","Verb","GenderNP1","GenderNP2","Block","Condition","List","Connective","Prompt"
"se-19",19,"erschüttern","m","f","creative",6,1,"punkt","Alexander erschütterte Alisa."
"es-19",19,"sorgen sich um","f","m","creative",7,4,"punkt","Alisa sorgte sich um Alexander."
"es-19",19,"sorgen sich um","m","f","creative",8,3,"punkt","Alexander sorgte sich um Alisa."
"se-20",20,"erschrecken","f","m","non-creative",1,2,"punkt","Aisha erschreckte Albert."
"se-20",20,"erschrecken","m","f","non-creative",2,3,"punkt","Albert erschreckte Aisha."
"es-20",20,"bedauern","f","m","non-creative",3,4,"punkt","Aisha bedauerte Albert."
"es-20",20,"bedauern","m","f","non-creative",4,1,"punkt","Albert bedauerte Aisha."
"se-20",20,"erschrecken","f","m","creative",5,1,"punkt","Aisha erschreckte Albert."
"se-20",20,"erschrecken","m","f","creative",6,4,"punkt","Albert erschreckte Aisha."
"es-20",20,"bedauern","f","m","creative",7,3,"punkt","Aisha bedauerte Albert."
"es-20",20,"bedauern","m","f","creative",8,2,"punkt","Albert bedauerte Aisha."
